,lat,lon,Date_Mid_Greenup_Phase_1_aot40_r
1255,38.013332,-87.577225,0.2227119733210447
80,40.6532,109.8756,0.2227129419261704
1061,50.048397,10.232076,0.2227993731962577
245,32.633,116.8281,0.2234445616202859
640,29.6815,115.9872,0.2242522287850292
1302,37.1655,-78.3069,0.2245909876587237
171,35.5307,106.7021,0.2285751899205483
761,47.751475,23.605325,0.2288097616337958
384,40.135,116.6636,0.2292186961487912
1308,42.5956,-87.88576,0.2294277542948882
215,40.761,107.4212,0.2294669605520677
235,41.9419,126.4077,0.2300618345983531
278,39.5111,116.6708,0.2308916194039307
1083,40.314518,-3.716868,0.2313424528949406
522,36.1758,117.1089,0.2313999307466203
74,41.1489,122.0303,0.2316976098309156
205,41.998,121.6094,0.2321823093972695
1403,29.939613,-89.92388,0.2338534138596245
22,43.8622,126.54,0.2344385651024197
939,46.23451421,15.262476,0.2345128806125887
315,31.8571,117.25,0.2384172006379039
1175,46.329586,-0.458889,0.2391317320246979
1032,45.60222,9.27611,0.2394430313179953
257,45.3039,130.9429,0.2403441223102196
1233,47.30737,5.065881,0.2414121293754868
577,30.6558,104.0219,0.2417218341548567
258,47.3416,130.2537,0.24187506102778
50,34.7752,111.1922,0.2432080863997239
854,42.666508,23.400164,0.2435789911623104
311,36.6868,117.0624,0.2465406416377715
467,29.334,120.04,0.2473762816151443
202,41.2991,123.149,0.247466807360217
1221,43.4015,-5.8028,0.2475403532543938
1017,53.187222,-6.121667,0.2483346466796542
1432,36.60843,-83.73694,0.2487204307889055
325,33.5981,119.036,0.2495160482850072
376,43.8463,125.2841,0.2505008635363611
369,45.8167,126.561,0.2511479170091846
1120,50.94535924,3.15240159,0.2514597803976781
592,34.1781,117.1694,0.2515782998704622
957,47.0674,8.46333,0.2523487862076187
1237,41.9356664,2.238568301,0.253515684630855
516,27.5342,109.9781,0.2539178491355904
144,32.5714,110.8839,0.2541771945793563
236,32.8977,117.3145,0.2552310441310871
833,47.71611111,13.63222222,0.255245427580165
880,45.0028,7.8375,0.2562374268534786
431,29.8253,106.4213,0.2575287880667108
999,44.98375,26.015214,0.2575664121225891
1249,36.306965,-79.09197,0.2601892260284509
746,42.14326062,2.510206967,0.26042376977973
1215,53.694628,19.968892,0.2607291413599769
1333,40.06483,-74.44405,0.2640379027570891
451,26.4365,106.6555,0.2641373414027534
350,31.7069,119.9468,0.2655315168522421
903,50.37658691,13.32762241,0.266279939385971
667,26.6027,106.7109,0.2678108040683457
1444,45.25928,-122.58815,0.2689334427186483
531,29.5822,105.0406,0.2691767360219743
456,29.7178,118.327,0.2693218882920782
365,43.7783,125.245,0.2696421515291397
717,43.404011,21.947746,0.2699685475002199
218,33.6406,114.6369,0.2701438609254158
15,43.8245,126.5052,0.2703026681976276
830,48.733256,19.115268,0.2703498116268987
1445,35.988277,-77.5843,0.2719782240658719
745,40.41666666,-0.24916666,0.2762658088508872
995,53.56414,9.967882,0.2762782731421866
209,42.3022,123.8139,0.2769650280768655
179,44.3075,86.0697,0.2772007493132716
1395,33.545277,-86.549164,0.2781212614688668
769,41.47676936,2.088977264,0.2787766845237351
130,32.1195,114.0775,0.2795678288835667
1326,42.68075,-73.75733,0.2798475940085458
785,60.608299,15.6294,0.2810442646025061
1315,42.139996,-87.799225,0.2813079503332502
886,53.246535,6.608937,0.2821258161397809
834,48.257474,13.03923,0.2821268375819611
1073,48.507703,9.051178,0.2824793547195026
1116,51.34879529,4.339709947,0.2831744194052341
787,49.50504,5.97694,0.283976918272102
824,44.5,11.286111,0.2842925158337898
230,35.0303,110.9686,0.285616098935215
1367,41.3014,-72.90287,0.2859359777535366
204,38.8411,105.6985,0.2860670814079206
898,47.737415,7.309075,0.2874176964891106
1134,45.736694,21.250808,0.2874572603034909
1338,38.48123,-77.3704,0.2879745015919758
1363,35.96497,-84.22317,0.2890335504016993
586,35.7668,115.0,0.2891399220424137
810,47.4885583,12.066633,0.2897530489511129
934,47.5292,9.9267,0.2904312710251441
829,46.143173,-0.396042,0.2914373433464721
1390,38.65643,-90.19835,0.2918114682872509
1,41.1442,123.0485,0.2919738630512171
489,36.881,118.746,0.2922363877276033
1440,47.5525,-122.06472,0.2932210390096089
671,45.499167,12.262222,0.2933191197166968
35,34.3617,108.7233,0.2933554009688447
1104,51.75816,10.61248,0.2942473051406434
1270,41.515053,-81.24991,0.2953182748769197
902,45.038831,24.298631,0.2988152966423761
816,49.211447,18.771215,0.2994694871187032
49,33.737,113.2919,0.3026055282488142
48,33.742,113.3257,0.3030298341184927
160,35.9019,114.17,0.3033877863470426
1108,40.3419,-3.8337,0.3037526720544684
972,46.934128,26.38925,0.3047246091618308
1069,52.398406,13.368103,0.3075288234812025
229,35.0147,110.9956,0.3082139532147765
935,50.88369465,4.382977505,0.3082166218672271
662,35.4887,112.8508,0.3083480112684266
330,31.6219,120.275,0.3085046725292637
29,36.6028,109.4761,0.3088077086482401
649,28.793,104.6055,0.3093155136592583
788,47.541944,19.146122,0.311141511753913
485,31.0201,103.6202,0.311966937746192
92,38.5036,106.1358,0.3124147253969105
217,39.3278,112.4072,0.3140173081035638
3,47.3636,123.9305,0.3158785483356103
314,31.8707,117.2588,0.316014321036181
673,49.419528,8.6767,0.3162442313776009
1068,47.145014,23.877389,0.3165041323019261
156,31.7643,116.4738,0.31682654162215
767,44.013056,12.42,0.3170855322357084
201,30.5119,117.0331,0.3178500287717299
1060,46.564369,26.910667,0.3179747014461407
946,48.930932,21.913705,0.3190139426641132
1396,34.015434,-84.60742,0.3208319759068554
924,49.544078,8.465281,0.3215251688283025
1103,47.4029,8.6134,0.3229217408830147
710,49.23290634,17.66717529,0.3232115836709909
1074,43.5512,-5.9197,0.3258328024922247
1400,30.439722,-84.34639,0.3263127754365319
299,34.80246,113.67526,0.3264503740109996
429,36.0022,106.2792,0.3264723115788036
410,27.9831,116.3544,0.3267062870096595
818,45.772167,3.0875,0.3300700105450528
225,37.6945,112.7532,0.3312984485370308
950,50.46519216,3.939714326,0.3330459513817589
1092,48.19223,14.51954,0.3332490628725171
214,46.0656,122.0392,0.3347907361023675
1079,41.91614,0.191101,0.3363808635315392
494,25.7759,113.0348,0.3368005174544705
1354,40.814182,-79.56475,0.3373166986722997
998,48.173194,11.648036,0.3376849941285266
1387,33.317142,-86.82575,0.3380594527056632
1439,39.310833,-76.47444,0.3391136321572957
441,29.5102,106.5777,0.3393295866477449
1210,47.068717,21.927233,0.339876911635664
326,45.7319,126.685,0.3398977882003011
153,32.8929,115.8277,0.3398982325740835
555,31.7231,118.5228,0.3402287154154544
927,54.88361,-1.406878,0.341278087618057
734,43.310833,-0.391111,0.3415215709589896
301,34.7525,113.64164,0.342530079238339
1330,40.92458,-75.06782,0.3426039172424328
479,27.7019,106.9242,0.3440267424893912
