,lat,lon,Date_Mid_Greenup_Phase_1_temp_r
1294,44.735977,-68.67075,-0.5069505421504514
18,41.8491,123.7977,-0.5068551052219267
999,44.98375,26.015214,-0.506636469297981
542,27.7569,111.9561,-0.5063621388011945
260,47.3382,130.1097,-0.5050428266445066
815,49.028057,2.750278,-0.5041344252035382
679,48.899233,9.172792,-0.5016362490808813
866,50.979455,11.037924,-0.5001469961069657
1333,40.06483,-74.44405,-0.4998578276656448
1014,50.32276,3.39593,-0.4995206592108888
1012,46.137222,9.385,-0.4981323659526124
656,36.0822,111.5169,-0.4980781829072191
834,48.257474,13.03923,-0.4972346761833973
1111,47.47706,11.05722,-0.4962108845354584
719,47.27476,4.099476,-0.4953566402291778
663,31.6449,118.5024,-0.4921717224485718
1035,41.554167,14.674722,-0.4920262392412561
419,30.3119,120.1197,-0.4919321000433966
1403,29.939613,-89.92388,-0.4915414783074062
1048,43.5589,-5.9275,-0.4911639446013189
1228,46.9631,7.46252,-0.4906187702123163
895,47.64892,-2.76399,-0.4889556667565146
788,47.541944,19.146122,-0.4885502778199585
686,48.610363,7.781631,-0.4880949445669017
1312,32.364567,-88.73149,-0.4878998662089364
380,38.8639,115.5086,-0.4867410103219162
1218,51.028931,7.004976,-0.4865620520061307
1134,45.736694,21.250808,-0.4852766928483193
1253,48.41252,-92.82922,-0.484303559463916
1395,33.545277,-86.549164,-0.4836835571299008
923,51.054558,12.141322,-0.4821125743811013
1353,40.56333,-78.919975,-0.4815363162518981
775,46.06554495,14.51272032,-0.4811565403445129
823,45.1763,7.7116,-0.4784903534783448
395,39.1082,117.237,-0.4752382573235116
1401,30.681719,-91.36625,-0.4742879143258089
1249,36.306965,-79.09197,-0.4737725244202942
1416,39.28102,-78.08157,-0.4726562443862651
77,40.7677,120.8695,-0.471815552504116
1207,38.748611,-9.148889,-0.4717783445034229
864,42.90056,13.33667,-0.4712465729333887
46,34.7965,114.2885,-0.4709320486504832
1446,43.670834,-110.59947,-0.4700242100424783
182,36.5446,104.1724,-0.4697529690777997
406,30.1819,120.2697,-0.4696866183705519
1280,41.420883,-82.095726,-0.4695161023291853
1063,48.326013,10.903051,-0.4687252833114809
412,25.8333,114.9322,-0.4685436487426581
830,48.733256,19.115268,-0.4683709810525634
1276,38.81194,-76.74417,-0.467550256634359
1392,38.71085,-90.47606,-0.4653824461147675
91,38.4975,106.2328,-0.4644596068636087
1223,47.0677,8.30068,-0.4636732898553038
937,57.8634,11.9216,-0.4625816040356524
246,33.9477,116.7856,-0.4625781096118413
512,25.0925,104.9022,-0.4608201918903386
959,47.513333,21.624444,-0.4593225739145155
253,47.3086,130.2684,-0.4584683730562102
273,37.7541,115.6838,-0.4567016118102827
474,30.2111,120.2072,-0.4563864963853919
1424,42.27807,-85.54189,-0.4562984878568794
1054,40.62984,-3.17159,-0.4555716164419139
1447,40.74529,-73.41919,-0.4555057103608672
335,34.2778,117.2933,-0.4553670485295265
897,60.22393,25.10244,-0.4550574376682757
1245,33.81468,-80.781136,-0.4541871001820293
1033,45.038333,9.669167,-0.4536219323813181
1263,36.019184,-83.87381,-0.4534019794825171
638,23.0822,114.4053,-0.4533898550047681
782,42.157856,11.908954,-0.4525996113301829
1078,41.03028,21.33667,-0.4479621822193738
1045,41.932892,12.506947,-0.447310408043607
1328,41.05192,-73.76366,-0.4461139707378512
806,47.128863,10.034324,-0.4454722372184622
326,45.7319,126.685,-0.4442893626998374
906,46.08253,10.95804,-0.4438770657827286
1302,37.1655,-78.3069,-0.4434764132325348
1455,38.23887,-82.9881,-0.4434666139738042
373,43.79,125.4605,-0.4434324435840726
460,31.882,120.55,-0.4433521108479831
831,45.148333,9.940278,-0.4419703108547201
285,40.8033,111.6572,-0.4416541826264086
1036,51.360755,9.271233,-0.4413808893732144
320,38.8632,115.493,-0.4410300735251355
1222,49.23074,7.003174,-0.4404323532362439
859,43.305286,5.394716,-0.438648560381744
1268,40.026035,-82.433,-0.4379847125186845
723,46.19583,6.240556,-0.4378458465704827
709,52.407578,20.955928,-0.437508281816075
706,42.09791019,1.848237224,-0.4367347857018848
389,38.0058,114.4586,-0.4366626818730477
363,40.8062,111.7276,-0.4363761295497211
861,46.765425,23.550258,-0.435630877456951
286,33.9528,118.293,-0.435617689017318
60,41.0971,122.9642,-0.4342859400739949
700,43.610497,2.23015,-0.4340475883328432
812,47.27129,11.4169445,-0.4336042863062717
833,47.71611111,13.63222222,-0.4313149145601308
1261,35.63348,-83.941605,-0.4312046132431247
1101,42.056383,25.59345,-0.4307923345700293
1021,45.89,0.9,-0.4296342471906265
223,39.3617,112.4575,-0.4284448958184843
1059,48.18169,11.46445,-0.4270745539493392
1338,38.48123,-77.3704,-0.4264754076384154
613,30.7525,120.7846,-0.4262756752459959
112,37.4309,118.6614,-0.4240376181003455
1191,48.445553,0.110833,-0.4224079713205526
885,51.407365,5.393328,-0.422155582735752
1068,47.145014,23.877389,-0.4203360041015569
696,49.91351318,14.7826252,-0.4188315580888025
514,28.6842,115.9314,-0.4178806811458339
682,47.809892,7.764528,-0.4135824189196392
574,38.497,106.1015,-0.4135055011895863
1311,40.712776,-81.598335,-0.4104219239530164
914,52.146264,14.638166,-0.4100848502230375
734,43.310833,-0.391111,-0.4098832927062426
926,52.644169,13.483079,-0.4094393817469956
780,46.58967,11.43317,-0.4093791285433921
204,38.8411,105.6985,-0.4089138808614492
814,45.79728,3.113833,-0.4087838028870055
1340,29.723333,-95.63583,-0.408271692915124
1404,39.99139,-75.08083,-0.4076979241012876
1038,45.696736,27.211622,-0.4056150734540128
188,30.5232,105.5582,-0.4050450008209145
1034,43.66028,11.90167,-0.4043053082573265
886,53.246535,6.608937,-0.4040887186834605
147,30.9891,112.1969,-0.4038200407667096
1202,42.284,21.2738,-0.4037438659480349
1362,41.265556,-75.84639,-0.4034701211728335
602,44.0114,87.2997,-0.4026949030562954
1073,48.507703,9.051178,-0.4016756283620611
865,50.978292,10.317236,-0.4013180923089644
1428,30.260279,-81.45361,-0.4006087079573928
817,47.8055556,13.043333,-0.3999124829777752
600,26.5917,104.83,-0.3983839566149086
699,49.45165634,17.45415878,-0.397936195023309
1411,34.623238,-82.53206,-0.3972136170273264
873,55.39638901,10.38917255,-0.3951575681960297
16,43.8358,126.5844,-0.3930405048454559
804,48.124711,17.125496,-0.39128432250214
968,50.889871,6.985074,-0.3888612473780176
754,49.744886,21.454617,-0.3881658544555544
1313,38.86067,-90.10585,-0.3875778614233643
195,33.1138,107.0089,-0.3867885518807605
716,49.94498825,17.90953064,-0.3865924029226805
1350,42.51831,-89.06347,-0.3851098713661073
738,45.431539,28.054742,-0.384567545249266
676,49.224167,4.020556,-0.3842918775246118
429,36.0022,106.2792,-0.3837761775194436
888,46.58389,0.345556,-0.3823892375218237
576,38.4842,106.2757,-0.3821980246446867
1158,51.748103,18.04931,-0.3805312015034784
1041,51.462734,13.526796,-0.3803469458608764
1406,41.644066,-83.54616,-0.379959727447026
1327,40.8679,-73.87809,-0.3788779199439738
1442,32.52127,-84.94463,-0.3779984658397352
124,35.4209,119.471,-0.3772082139840326
88,34.3474,108.935,-0.3764437170669255
972,46.934128,26.38925,-0.3751638583156266
1346,39.4125,-107.23056,-0.3741816433102009
531,29.5822,105.0406,-0.373571663630887
390,39.9136,116.184,-0.3724101500855099
1075,44.319639,28.610292,-0.3706165177099696
9,44.6075,129.6364,-0.3701764006797874
1221,43.4015,-5.8028,-0.368629737673627
276,30.8669,120.0751,-0.3677878400246256
1376,42.099697,-71.6194,-0.3668395410010665
486,45.6094,84.895,-0.3660357709011079
1364,36.060894,-86.28629,-0.3640549919051981
221,35.4897,112.8676,-0.3627547046266288
1387,33.317142,-86.82575,-0.3612200585793553
1145,50.42864609,14.91385937,-0.360740574831456
1319,39.866833,-88.92559,-0.3605894834829294
971,49.438464,12.548869,-0.3597867586647436
163,35.303,113.883,-0.3585574602890041
1326,42.68075,-73.75733,-0.3582270359378767
1260,32.82006,-96.860115,-0.3568259030155088
539,28.3169,109.7325,-0.3557545478366627
1243,35.438557,-81.27675,-0.3531717357813949
1310,45.2384,-86.994,-0.3531079503414794
92,38.5036,106.1358,-0.352968735282881
1200,43.89555,25.956575,-0.3525721761447991
781,48.167961,17.106244,-0.351747410653324
1348,34.454514,-94.143524,-0.3516607472234218
621,27.583,110.0394,-0.3516302176866193
755,51.259431,22.569133,-0.3513327062939897
548,28.9666,118.8709,-0.3511144460809762
89,34.1978,108.985,-0.3509730902287602
825,48.04944444,14.44277778,-0.3503580038155485
1205,39.48963,16.3868,-0.3501555011734265
736,49.254344,6.867744,-0.3501393914904581
1089,48.12027778,14.878333,-0.3501212669646446
1138,52.401352,13.059945,-0.3500208681650973
1323,43.14618,-77.54817,-0.3498372732099962
893,45.7789,4.9247,-0.3490000996210136
575,30.4576,106.6303,-0.3472584132578661
1397,33.331112,-87.00361,-0.3467762255611528
743,58.370556,26.734722,-0.3457864142759439
983,41.947654,12.533667,-0.3448395079835552
1296,43.4351,-89.67979,-0.344556694970854
750,43.2757,-5.596,-0.3441893640888381
703,50.02403641,15.76354885,-0.3434283610763763
201,30.5119,117.0331,-0.3429648348770766
225,37.6945,112.7532,-0.3428771193697814
484,35.546,112.8453,-0.3406939177078216
194,33.0706,107.0154,-0.3395781512161149
637,36.913,121.531,-0.3390456751263107
810,47.4885583,12.066633,-0.3388729047697468
1142,46.632142,27.730886,-0.3364311096710218
747,46.671307,5.556806,-0.3344564554488898
851,43.126475,25.691211,-0.33440034337564
760,47.594257,1.302667,-0.3339763180036703
1251,35.59095,-78.4622,-0.3336193936040741
381,39.8863,116.4072,-0.3332153665338266
1006,51.27399,1.098061,-0.3317044381150864
724,43.32074,-3.11272,-0.3312262238133969
801,45.463333,10.480833,-0.3307052279931738
295,40.762,114.8902,-0.3296446370527118
1298,64.84569,-147.72742,-0.3280761059533612
695,49.50260925,18.53856087,-0.3277081350481554
1257,41.182465,-81.33048,-0.3276204415719583
423,32.0754,118.7997,-0.3272741579282598
74,41.1489,122.0303,-0.326747194222746
466,31.4,119.46,-0.3258684923892178
1080,50.970024,9.80026,-0.3256282630621909
470,26.2714,117.635,-0.3252464371324095
884,59.20243,9.4871,-0.3238541435885891
37,41.7166,86.1972,-0.3230562257928803
