,lat,lon,Date_Mid_Senescence_Phase_1_aot40_r
225,37.6945,112.7532,-0.3606050178760656
368,45.5419,126.979,-0.3595118299613894
151,30.9743,118.7385,-0.35859516972913
667,26.6027,106.7109,-0.3569219300554109
1385,38.11515,-86.60325,-0.3563421154460925
726,43.3069,-5.7057,-0.3563094730644773
946,48.930932,21.913705,-0.3559115659872305
1112,44.92467,10.5172,-0.3557420646810398
643,37.4442,118.5857,-0.3555224418030167
1217,53.24696,10.4565,-0.3532421912400311
542,27.7569,111.9561,-0.3525515692285129
43,36.1017,114.3551,-0.3523287956843291
675,48.962223,4.36,-0.3522421485826881
1171,43.5166,-5.6707,-0.3514797656273223
337,31.3097,120.669,-0.3503112306667977
209,42.3022,123.8139,-0.3479020903093034
326,45.7319,126.685,-0.3472708881061541
1083,40.314518,-3.716868,-0.346732684051464
362,40.7866,111.5512,-0.3457959246968758
334,31.2284,121.533,-0.3432918475996012
796,48.1061111,15.91944444,-0.3417136503517342
1273,39.70595,-79.012,-0.3416889072967989
831,45.148333,9.940278,-0.3415279516760364
1163,45.5476,9.16698,-0.3397928597975434
1329,32.726658,-103.12292,-0.3383359736540621
197,38.2839,109.7289,-0.3378725560821276
149,33.5698,114.0055,-0.3371263316570515
621,27.583,110.0394,-0.3367919125274103
85,34.2629,108.993,-0.3367599292586627
1315,42.139996,-87.799225,-0.3332784467958197
913,50.08148193,14.4426918,-0.3329880776177684
990,42.697918,9.446417,-0.3322198784243075
1228,46.9631,7.46252,-0.3317187947294822
1067,51.651166,12.302866,-0.3308436485385402
1141,49.672507,9.001981,-0.3304256879437872
682,47.809892,7.764528,-0.3283193395645404
790,46.835,14.84361111,-0.3269440803980574
322,36.6114,116.9862,-0.326420750361821
1452,40.27813,-105.54564,-0.3261631745112032
1000,48.021657,12.538174,-0.3255963476616116
1024,47.054443,-0.886111,-0.3255031300938622
260,47.3382,130.1097,-0.3242674783062542
285,40.8033,111.6572,-0.3235900574845484
298,34.77134,113.65724,-0.3228766571538192
134,32.9735,112.5003,-0.3220838391952885
1055,49.73244858,13.40228081,-0.320934064729462
1076,47.3868,8.53981,-0.3194902000149209
1386,41.81305,-88.07283,-0.3174214220273576
1068,47.145014,23.877389,-0.3161166605815944
1340,29.723333,-95.63583,-0.315344943950185
141,30.2092,115.0307,-0.314615995878598
86,34.2173,108.9356,-0.3133109091114815
1343,41.78472,-72.63167,-0.3131722249743303
219,35.5051,112.85,-0.3130883176383869
514,28.6842,115.9314,-0.3122168547724488
387,39.6334,118.1725,-0.3120907376614152
367,45.7733,126.689,-0.3115595631814117
763,46.17,1.87,-0.3111924546043859
733,48.051117,7.011114,-0.3105670046189558
900,66.3217,29.40157,-0.3103932015690633
684,50.010575,19.949189,-0.3101982121207119
832,48.53111111,14.57472222,-0.3097426925207658
66,39.8129,110.0023,-0.3093959152474401
1176,44.825,11.649722,-0.3091290988423171
673,49.419528,8.6767,-0.3081391238962183
152,32.2786,118.3244,-0.3076387386582365
1444,45.25928,-122.58815,-0.3067005610791091
919,48.376576,10.88837,-0.3057442731141283
674,50.007629,18.455548,-0.3049585041710964
779,45.93766834,13.91156335,-0.3046514404698902
407,31.4741,104.7778,-0.3040860312515189
808,48.782852,20.987197,-0.303037764837529
1382,38.06503,-84.49761,-0.3008187898526935
359,41.7406,123.505,-0.3005628523807699
590,37.9844,106.2025,-0.2993410071223258
1111,47.47706,11.05722,-0.2992658816809714
370,43.8325,125.1761,-0.2973489552479217
206,42.0224,121.6717,-0.2951277257882271
980,51.317905,12.297411,-0.2938472398037171
137,32.9771,113.9976,-0.2918182305250945
1255,38.013332,-87.577225,-0.2915585300979011
715,43.6287,0.179069,-0.2905781104298288
824,44.5,11.286111,-0.2903340139168771
710,49.23290634,17.66717529,-0.2877798869389022
921,48.773072,8.220214,-0.2875252253852003
1425,40.304695,-79.50567,-0.2870852877118492
690,44.3818,7.5382,-0.2868557040418935
283,33.6067,118.989,-0.2855640390099487
492,26.3108,117.7275,-0.2855550201159497
517,27.5578,109.9972,-0.2854982722248254
353,41.7867,123.4678,-0.2838111035516381
1428,30.260279,-81.45361,-0.2820651958016181
1393,33.578335,-86.77389,-0.2806463925910565
377,43.9027,125.2863,-0.2788727934541002
1214,45.297325,27.949461,-0.27782061283452
1245,33.81468,-80.781136,-0.2767840478900653
1319,39.866833,-88.92559,-0.276341960796933
148,33.5698,114.0261,-0.2755812737580403
1413,41.094967,-85.101814,-0.2748881671651002
202,41.2991,123.149,-0.2742307470883623
1298,64.84569,-147.72742,-0.2735581210122435
1102,50.010325,8.451527,-0.2733937371078783
308,30.6217,114.3646,-0.2730336904476677
1155,43.26444,-4.06278,-0.2712123442666836
1135,52.22174,-2.736665,-0.2710418845010172
936,50.85780611,4.288706017,-0.2705514591869487
836,44.79361,10.33167,-0.269437383903289
509,27.3125,105.2864,-0.2686156340561804
1396,34.015434,-84.60742,-0.2685534712909833
770,45.4512,7.878,-0.2668727158712976
231,38.4519,112.7383,-0.2668297826512664
964,49.300731,8.700103,-0.2659011828175278
49,33.737,113.2919,-0.2653016102586722
27,40.8434,121.0533,-0.2652973053411624
132,33.6347,114.6758,-0.2652219185275035
1420,35.158688,-78.728035,-0.2652215189109504
1334,43.05235,-76.05921,-0.2645343011891946
736,49.254344,6.867744,-0.2643800026505578
1328,41.05192,-73.76366,-0.2623133412185951
716,49.94498825,17.90953064,-0.2619666517021018
32,34.3672,107.1906,-0.2613700343848534
37,41.7166,86.1972,-0.2598972160428803
563,29.6038,115.9114,-0.2595885765633458
1124,45.690278,9.643889,-0.2593799270067675
484,35.546,112.8453,-0.2587050795917749
1322,40.816,-73.902,-0.2577125365063287
1268,40.026035,-82.433,-0.2576042755530626
666,26.5424,106.674,-0.2570624304937774
1332,35.9138,-81.191,-0.2564616006479616
291,37.8195,112.57,-0.2558255221430897
540,28.2558,109.6414,-0.2555030972902895
1356,39.96111,-77.475555,-0.2546561853544765
1089,48.12027778,14.878333,-0.2543034170566742
704,45.569,8.1876,-0.2539457598559181
619,30.9413,117.7807,-0.2531780103310292
803,48.16206944,16.52561389,-0.2524563487146588
564,29.8566,114.2936,-0.2506679180179084
924,49.544078,8.465281,-0.2488268499466979
1248,41.4271,-80.1451,-0.2479247123834348
870,52.800773,10.756733,-0.2478549880590359
863,52.602056,11.850274,-0.2475927439134619
19,41.8822,123.9161,-0.2451542178263021
324,40.8369,111.7516,-0.2442650680924379
1432,36.60843,-83.73694,-0.2439881744360549
948,46.6775,12.972,-0.242827484626981
1362,41.265556,-75.84639,-0.2423156183712242
1391,39.749027,-86.18627,-0.2420167616466332
691,48.001511,7.832122,-0.241254981043253
656,36.0822,111.5169,-0.2399030598315093
1293,35.614132,-97.47508,-0.2379637724611984
818,45.772167,3.0875,-0.2379056067871966
1104,51.75816,10.61248,-0.2349117683027109
417,28.2475,117.0311,-0.2334204154072044
743,58.370556,26.734722,-0.2333487109569909
104,36.0714,111.5028,-0.2330319705684302
799,47.09436111,15.41511111,-0.2322398128023872
1341,29.625557,-95.26722,-0.2299144591560291
289,30.4183,120.3019,-0.2288926639330233
860,43.28334,5.511384,-0.22841211119811
1194,49.18742,6.910867,-0.228274099291934
1004,51.52229,-0.125889,-0.2279608713037061
127,36.7023,119.1437,-0.2279332255533095
262,46.6554,131.1524,-0.2272604472011006
550,30.3714,114.8989,-0.2247040592063844
18,41.8491,123.7977,-0.2246795249590051
53,30.3544,112.2008,-0.2230058039389288
1377,43.97462,-70.12461,-0.2225600604682197
