,lat,lon,Date_Mid_Greenup_Phase_1_o3_r
634,36.6428,101.748,-0.0398956112258351
595,34.4285,115.6702,-0.0397346429277088
776,46.651838,16.196777,-0.0369421360459419
1094,55.46333313,26.00416946,-0.0315660412230508
908,49.73508453,16.03419685,-0.0308908249731898
582,29.5462,103.7723,-0.030380892196337
171,35.5307,106.7021,-0.0298560631446149
111,42.2554,118.8788,-0.0298242008091883
117,36.4372,115.9848,-0.0294241889818473
420,28.1136,116.9822,-0.0289171792077441
867,51.207944,10.450997,-0.0267614393633349
1177,43.3665,-5.833,-0.0254447286715535
1252,42.416637,-83.90218,-0.0223786452937203
1110,53.40337,-1.752006,-0.0201940932698463
495,28.1944,113.0014,-0.0195601550989867
1321,40.72099,-74.192894,-0.0182958434451333
536,23.4835,111.2711,-0.0169496804509314
1083,40.314518,-3.716868,-0.0157451626091052
611,36.5482,104.1465,-0.0154035317325392
639,33.3942,120.156,-0.0147288185001852
306,39.9499,119.5897,-0.0139815950339532
1087,50.383217,8.060998,-0.0126706753850663
1266,36.0388,-85.7331,-0.0108523875591284
550,30.3714,114.8989,-0.0106858650026181
888,46.58389,0.345556,-0.0106395216162748
1015,48.17278,6.452811,-0.0100621529987379
1343,41.78472,-72.63167,-0.0093645791404197
349,45.7258,126.6411,-0.0090721505972212
952,46.951,7.44087,-0.0080385038949035
977,45.154075,26.818619,-0.0076741419553157
515,26.8956,112.6211,-0.0056744558387545
782,42.157856,11.908954,-0.0056496463714857
659,36.0855,111.5018,-0.0043361434013835
680,44.9089,8.2055,-0.0033508435567927
26,41.0879,121.1115,-0.0026808820867456
629,39.8261,109.9486,-0.0005679570891276
13,46.6215,124.9042,-0.0002429530949391
1018,45.000278,9.009444,0.0001779631384763
1375,42.298492,-72.334076,0.0011032195679512
173,42.9559,89.1673,0.0015384005733264
123,34.5578,117.7276,0.0027058725477719
1409,43.54792,-96.70077,0.0039331673014062
806,47.128863,10.034324,0.0046557614715699
406,30.1819,120.2697,0.0049423037442599
509,27.3125,105.2864,0.005128487009968
290,37.9854,112.549,0.005216977872006
618,28.4436,117.9756,0.005741723488074
775,46.06554495,14.51272032,0.0062728582742345
1420,35.158688,-78.728035,0.0063264284958987
961,50.79664963,4.358623958,0.0077398728029959
918,48.904228,11.948795,0.008429705576233
715,43.6287,0.179069,0.0095264600117203
1307,43.7775,-91.2269,0.0103415924364709
769,41.47676936,2.088977264,0.0128709670785239
615,37.6828,112.7195,0.0131530919078035
697,49.66958237,12.6778841,0.0143357290872658
701,46.13167,9.56639,0.0154881852897738
434,29.4758,113.2621,0.0179624364443234
704,45.569,8.1876,0.0181668794106151
257,45.3039,130.9429,0.0191687371560372
1142,46.632142,27.730886,0.0224200547746207
1258,41.606663,-87.30494,0.0236914611358257
559,29.7046,115.9584,0.0237312360847508
667,26.6027,106.7109,0.0238139841958074
981,50.731478,13.75145,0.0274165152202207
1067,51.651166,12.302866,0.0274272934856823
817,47.8055556,13.043333,0.027610000974059
272,37.0886,114.4704,0.028197817174769
148,33.5698,114.0261,0.0285854394731855
359,41.7406,123.505,0.0289018085125707
277,39.5269,116.7244,0.0291147739312288
20,41.8611,124.0436,0.0295430962637317
850,42.637192,23.243864,0.0299215381245905
1295,41.6175,-87.199165,0.0301267459149201
22,43.8622,126.54,0.030395892228691
891,42.516944,1.56525,0.0304668803550772
791,56.00833511,21.88694763,0.0309716265845603
46,34.7965,114.2885,0.0314093199487694
910,49.20272446,16.61628723,0.0321594662314142
206,42.0224,121.6717,0.0326264511766434
1327,40.8679,-73.87809,0.0332865841886341
1341,29.625557,-95.26722,0.0360297903525113
1385,38.11515,-86.60325,0.0382779954618183
1444,45.25928,-122.58815,0.0386001770021174
1450,43.34317,-87.92087,0.0393348502493664
205,41.998,121.6094,0.0399608677666555
1270,41.515053,-81.24991,0.0402960915719284
1024,47.054443,-0.886111,0.0407899799986761
920,49.869422,9.171544,0.0409277679730623
674,50.007629,18.455548,0.0414775330824398
1284,32.535294,-93.74704,0.0423752380613649
446,27.6434,113.8385,0.0426434521445252
1348,34.454514,-94.143524,0.0437329742732739
997,55.862281,-3.205782,0.0442160040514177
1038,45.696736,27.211622,0.0444970254157114
1352,31.893913,-106.42583,0.0446079326578298
248,30.8792,117.7439,0.0457336632038096
483,38.5167,102.1692,0.0469786630932189
676,49.224167,4.020556,0.0483109919055005
965,45.59667,5.918611,0.0486266995471766
804,48.124711,17.125496,0.0499800446123638
1035,41.554167,14.674722,0.0523930976728819
58,30.8064,106.056,0.0541870999505772
691,48.001511,7.832122,0.0544195670400554
1227,41.636078,25.379683,0.0548126522329899
430,29.3578,113.1094,0.0561439319577127
724,43.32074,-3.11272,0.0562933278293016
640,29.6815,115.9872,0.0566988839331482
384,40.135,116.6636,0.057621316415861
672,52.420319,16.877289,0.0579091665495107
28,34.6886,112.494,0.0581587442527275
1261,35.63348,-83.941605,0.0590913578150455
1272,40.084515,-82.81558,0.0595183403614407
258,47.3416,130.2537,0.0596105707228972
941,47.04027778,14.330725,0.0606642041733143
1003,48.77586,5.162789,0.0610531851862465
1176,44.825,11.649722,0.0620567232411826
798,42.404687,12.857794,0.0622436733312929
696,49.91351318,14.7826252,0.0640638636516951
17,41.0821,123.022,0.0665064234331993
1204,41.886019,12.541618,0.0692413269535299
635,23.691,113.0426,0.0698647588359305
167,30.4742,114.9028,0.0705195415366162
553,24.8978,118.5972,0.0710722484565594
1304,34.474525,-85.408844,0.0714127629096708
700,43.610497,2.23015,0.0717430706050059
1180,56.15976,10.19364,0.0724485675756318
652,37.374,120.399,0.0732750631493261
1109,54.334944,-0.80855,0.07427723957933
431,29.8253,106.4213,0.0752743775665873
809,45.83611,8.80417,0.0767506722161373
325,33.5981,119.036,0.0771074324089978
1095,47.86194444,15.32194444,0.0788018738024685
163,35.303,113.883,0.0788633454646793
692,47.660056,9.485675,0.0795124662240044
848,46.62936,14.28931,0.0799105268254267
1074,43.5512,-5.9197,0.0805477694574405
1052,57.70902,11.970241,0.0812299218608324
648,28.3611,112.9581,0.0817889679123456
705,45.5588,8.0564,0.0821778307333552
1448,34.264915,-88.76622,0.0824902954960456
856,42.680558,23.296786,0.0829609403137896
1421,39.46048,-76.633545,0.0859895176447196
909,49.41123199,14.67638874,0.0865365250173853
510,26.9056,112.5664,0.0882984793243933
1011,43.91611,11.00694,0.0894276803387463
1080,50.970024,9.80026,0.0897238731536401
895,47.64892,-2.76399,0.0907438513305495
1251,35.59095,-78.4622,0.091021351203495
718,41.096667,-8.555833,0.091783266635907
269,39.6973,106.8174,0.0919862300394915
330,31.6219,120.275,0.0942426234116783
1198,51.067439,19.448694,0.0942954426508497
716,49.94498825,17.90953064,0.0947731624906944
